Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
dnf,CCP,NV,105 Sritrakool,Raksak,,,,6,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,203 Teerasawat,Sutee,,,,11,,0,1,Law Enforcement,123.00,15,,,,,,29.01,28.01,1,,,,,,,30.72,25.72,5,,,,,,,,,,,,,,,1,,,,,,,,,1,33.03,24.03,9,,,,,,,30.24,30.24,,,,,,,
dnf,SSP,MA,184 Itsarawut,Tong,,,,10,,0,1,,70.12,2,,,,,,16.47,16.47,,,,,,,,,,,,,,,,1,,,,,,,,,1,17.83,16.83,1,,,,,,,16.37,16.37,,,,,,,,19.45,18.45,1,,,,,,
dnf,CCP,NV,126 Seeme,Phonchai,,,,7,,0,1,Law Enforcement,149.98,44,1,1,,,,27.62,21.62,3,,1,,,,,50.12,23.12,22,1,,,,,,37.84,25.84,12,,,,,,,34.40,27.40,7,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MA,165 Ketkaeo,Pansa,,,,9,,0,1,Law Enforcement,81.93,10,,,,,,,,,,,,,,1,,,,,,,,,1,21.79,17.79,4,,,,,,,19.69,17.69,2,,,,,,,20.98,18.98,2,,,,,,,19.47,17.47,2,,,,,,
dnf,CCP,UN,177 Nitcaguntachot,Piyakorn,,,,10,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,205 Piromkriphak,Kasit,,,,11,,0,1,Law Enforcement,149.10,33,,3,,,,31.16,31.16,,,,,,,,27.97,23.97,4,,,,,,,,,,,,,,,1,,,,,,,,,1,23.14,21.14,2,,,,,,,66.83,30.83,27,,3,,,,
dnf,ESP,MM,054 Sreesawas,Thongchai,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,MM,076 Chuklin,Thanachai,,,,4,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,MM,108 Kongkaew,Thirawat,,,,6,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,MM,063 Chairat,Apison,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,SS,053 Na Bangchang,Chatchai,,,,3,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,UN,061 Nasingkhan,Supawat,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,MM,147 Daosiriroj,Chatthawat,,,,8,,0,1,,101.70,12,,,,,,,,,,,,,,1,24.21,20.21,4,,,,,,,24.79,21.79,3,,,,,,,25.67,23.67,2,,,,,,,27.03,24.03,3,,,,,,,,,,,,,,,1
dnf,ESP,SS,154 Stityuthakarn,Pasakorn,,,,9,,0,1,,122.17,28,,,,,,,,,,,,,,1,,,,,,,,,1,33.84,24.84,9,,,,,,,37.17,29.17,8,,,,,,,23.06,20.06,3,,,,,,,28.10,20.10,8,,,,,,
dnf,CO,MM,180 Petphoung,Somkid,,,,10,,0,1,"Law Enforcement,Senior",264.55,84,,7,,,,40.11,39.11,1,,,,,,,,,,,,,,,1,,,,,,,,,1,144.54,48.54,75,,7,,,,,39.08,35.08,4,,,,,,,40.82,36.82,4,,,,,,
dnf,SSP,SS,001 Sukhsong,Surapol,,,,1,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,172 Sriton,Chalemrat,,,,10,,0,1,Law Enforcement,101.49,7,,,,,,25.87,22.87,3,,,,,,,,,,,,,,,1,,,,,,,,,1,31.43,27.43,4,,,,,,,23.85,23.85,,,,,,,,20.34,20.34,,,,,,,
dnf,SSP,MA,093 Pruekamnuai,Phuriphat,,,,5,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,UN,161 Charoenjai,Pichitpol,,,,9,,0,1,Law Enforcement,178.16,41,,,,,,,,,,,,,,1,,,,,,,,,1,55.22,38.22,17,,,,,,,35.58,30.58,5,,,,,,,42.66,35.66,7,,,,,,,44.70,32.70,12,,,,,,
