Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
116,CO,ALL,049 Mongkolcharoen,Adul,49,,,3,,1,0,Law Enforcement,309.59,60,2,2,,,,45.43,45.43,,,,,,,,42.51,35.51,7,,,,,,,42.92,21.92,18,,1,,,,,37.14,23.14,11,,1,,,,,35.02,21.02,4,2,,,,,,37.80,27.80,10,,,,,,,33.35,28.35,5,,,,,,,35.42,30.42,5,,,,,,
117,SSP,NV,080 Sangsophon,Sarakorn,80,,,5,,1,0,Senior,312.27,53,1,,,,,31.65,31.65,,,,,,,,30.54,29.54,1,,,,,,,59.47,34.47,20,1,,,,,,35.41,27.41,8,,,,,,,24.02,23.02,1,,,,,,,29.88,25.88,4,,,,,,,49.51,44.51,5,,,,,,,51.79,37.79,14,,,,,,
118,SSP,SS,144 Mantadara,Manop,144,,,8,,1,0,Law Enforcement,312.39,90,,3,,,,53.83,31.83,19,,1,,,,,31.74,24.74,4,,1,,,,,42.22,27.22,15,,,,,,,29.64,17.64,12,,,,,,,27.47,22.47,2,,1,,,,,34.70,27.70,7,,,,,,,43.74,38.74,5,,,,,,,49.05,23.05,26,,,,,,
119,ESP,UN,042 Halakhun,Patiwat,42,,,3,,1,0,Law Enforcement,315.29,78,2,1,,,,36.97,32.97,4,,,,,,,34.35,29.35,5,,,,,,,49.98,28.98,21,,,,,,,34.79,21.79,10,,1,,,,,34.69,22.69,2,2,,,,,,32.37,27.37,5,,,,,,,36.97,32.97,4,,,,,,,55.17,28.17,27,,,,,,
120,CCP,NV,119 Jirathanamathee,Thanagrid,119,,,7,,1,0,Law Enforcement,315.49,56,2,1,,,,27.00,26.00,1,,,,,,,27.00,26.00,1,,,,,,,38.87,21.87,17,,,,,,,51.14,29.14,12,2,,,,,,24.51,21.51,3,,,,,,,35.65,30.65,2,,1,,,,,59.07,57.07,2,,,,,,,52.25,34.25,18,,,,,,
121,ESP,MM,104 Tipwanngam,Sakulrat,104,,,6,,1,0,Lady,315.71,77,,4,,,,26.68,25.68,1,,,,,,,31.72,28.72,,,1,,,,,57.13,30.13,24,,1,,,,,29.99,26.99,3,,,,,,,19.96,18.96,1,,,,,,,38.27,29.27,9,,,,,,,58.82,31.82,21,,2,,,,,53.14,35.14,18,,,,,,
122,SSP,MM,047 Khannark,Warachote,47,,,3,,1,0,Law Enforcement,316.59,78,2,3,,,,37.78,33.78,4,,,,,,,31.52,24.52,4,,1,,,,,55.57,22.57,28,1,,,,,,48.03,27.03,16,1,,,,,,17.72,17.72,,,,,,,,47.27,29.27,12,,2,,,,,37.78,33.78,4,,,,,,,40.92,30.92,10,,,,,,
123,SSP,NV,189 Patcharoen,Nattakit,189,,,11,,1,0,,319.21,79,5,3,,,,29.47,24.47,5,,,,,,,23.25,22.25,1,,,,,,,44.98,19.98,20,1,,,,,,55.46,29.46,13,2,1,,,,,19.02,19.02,,,,,,,,31.09,25.09,6,,,,,,,72.35,33.35,23,2,2,,,,,43.59,32.59,11,,,,,,
124,CO,ALL,215 Pommajan,Teerapon,215,,,12,,1,0,Law Enforcement,324.34,83,2,3,,,,27.83,27.83,,,,,,,,32.96,27.96,5,,,,,,,50.08,19.08,28,,1,,,,,45.15,28.15,17,,,,,,,45.53,23.53,12,2,,,,,,41.06,31.06,10,,,,,,,38.37,25.37,7,,2,,,,,43.36,39.36,4,,,,,,
125,CCP,NV,108 Onkasin,Thinnakorn,108,,,6,,1,0,Law Enforcement,324.98,61,3,4,,,,31.54,28.54,3,,,,,,,27.45,27.45,,,,,,,,50.89,25.89,17,1,1,,,,,42.46,32.46,7,,1,,,,,35.72,24.72,1,2,,,,,,40.94,34.94,6,,,,,,,57.35,30.35,21,,2,,,,,38.63,32.63,6,,,,,,
126,BUG,SS,025 Numpoonsuk,Tongchai,25,,,2,,1,0,Law Enforcement,326.69,77,2,1,,,,34.39,29.39,5,,,,,,,46.94,33.94,10,,1,,,,,46.89,21.89,15,2,,,,,,34.98,25.98,9,,,,,,,25.56,23.56,2,,,,,,,41.50,33.50,8,,,,,,,54.86,43.86,11,,,,,,,41.57,24.57,17,,,,,,
127,SSP,NV,017 Akavipat,Vijitsiri,17,,,1,,1,0,Lady,327.59,74,1,2,,,,37.37,30.37,7,,,,,,,26.36,25.36,1,,,,,,,54.70,19.70,27,1,1,,,,,31.43,28.43,3,,,,,,,20.40,19.40,1,,,,,,,36.46,29.46,7,,,,,,,57.34,41.34,13,,1,,,,,63.53,48.53,15,,,,,,
128,ESP,NV,132 Vichiravorakam,Ampon,132,,,7,,1,0,,328.14,96,1,1,,,,31.34,31.34,,,,,,,,29.66,28.66,1,,,,,,,72.94,22.94,47,,1,,,,,47.87,32.87,10,1,,,,,,21.38,21.38,,,,,,,,36.35,26.35,10,,,,,,,43.36,38.36,5,,,,,,,45.24,22.24,23,,,,,,
