Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 String 2,Stage 7 String 3,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
dnf,PCC,SS,082 Hattapadid,Anonpisut,,,,9,,0,1,,90.43,4,2,,,,,13.39,13.39,,,,,,,,17.30,17.30,,,,,,,,20.93,9.93,1,2,,,,,,8.00,8.00,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,14.78,13.78,1,,,,,,,16.03,14.03,2,,,,,,
dnf,ESP,SS,046 Kasornsukon,Visut,,,,5,,0,1,,163.83,11,,,,,,17.57,16.57,1,,,,,,,20.86,20.86,,,,,,,,,,,,,,,,1,,,,,,,,,1,16.35,15.35,1,,,,,,,21.07,19.07,2,,,,,,,23.26,9.78,4.71,6.77,2,,,,,,,15.23,15.23,,,,,,,,27.65,24.65,3,,,,,,,21.84,19.84,2,,,,,,
dnf,CDP,NV,027 Jaiaree,Amornthep,TH1020192,,,3,,0,1,Senior,270.95,19,1,,,,,,,,,,,,,1,,,,,,,,,1,27.33,21.33,1,1,,,,,,23.14,23.14,,,,,,,,35.36,35.36,,,,,,,,35.23,35.23,,,,,,,,54.62,13.30,7.15,20.17,14,,,,,,,27.37,27.37,,,,,,,,35.75,33.75,2,,,,,,,32.15,30.15,2,,,,,,
dnf,SSP,SS,059 Deeprasert,Annop,,,,6,,0,1,,188.55,27,1,,,,,21.77,18.77,3,,,,,,,22.58,21.58,1,,,,,,,16.80,14.80,2,,,,,,,14.61,12.61,2,,,,,,,,,,,,,,,1,25.76,21.76,4,,,,,,,24.39,7.80,4.82,5.77,6,,,,,,,12.94,12.94,,,,,,,,21.43,19.43,2,,,,,,,28.27,16.27,7,1,,,,,
dnf,PCC,NV,068 Worrachotepitipatch,Pitipatch,,,,8,,0,1,,124.13,4,,,,,,19.54,19.54,,,,,,,,23.57,23.57,,,,,,,,15.55,15.55,,,,,,,,13.32,12.32,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,11.07,11.07,,,,,,,,21.05,20.05,1,,,,,,,20.03,18.03,2,,,,,,
dnf,SSP,UN,048 Rangsimavisrut,Varut,,,,5,,0,1,,254.54,24,1,1,,,,25.38,24.38,1,,,,,,,30.46,30.46,,,,,,,,,,,,,,,,1,,,,,,,,,1,39.67,27.67,7,1,,,,,,33.07,27.07,6,,,,,,,47.78,16.16,11.49,12.13,8,,,,,,,19.75,19.75,,,,,,,,31.31,28.31,,,1,,,,,27.12,25.12,2,,,,,,
dnf,CO,NV,081 Tinrach,Amnat,,,,9,,0,1,Law Enforcement,138.05,14,,1,,,,20.41,20.41,,,,,,,,24.58,24.58,,,,,,,,14.81,14.81,,,,,,,,25.12,12.12,13,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,29.25,26.25,,,1,,,,,23.88,22.88,1,,,,,,
dnf,CO,SS,101 Panoi,Phuchit,,,,8,,0,1,Law Enforcement,123.63,4,,,,,,18.34,18.34,,,,,,,,20.23,20.23,,,,,,,,16.41,16.41,,,,,,,,15.91,12.91,3,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,14.96,14.96,,,,,,,,20.30,20.30,,,,,,,,17.48,16.48,1,,,,,,
dnf,CDP,EX,087 Nasimma,Gong,TH0006,,,10,,0,1,,147.78,1,,1,,,,25.64,22.64,,,1,,,,,25.62,25.62,,,,,,,,19.69,19.69,,,,,,,,19.48,19.48,,,,,,,,29.51,28.51,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.84,27.84,,,,,,,
dnf,PCC,EX,085 Uttanam,Anuchit,,,,9,,0,1,,70.76,13,,,,,,,,,,,,,,1,,,,,,,,,1,11.69,10.69,1,,,,,,,15.04,8.04,7,,,,,,,10.66,10.66,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,18.38,14.38,4,,,,,,,14.99,13.99,1,,,,,,
dnf,CCP,MM,097 Limotai,Kitti,,,,10,,0,1,Distinguished Senior,158.62,4,,,,,,23.65,22.65,1,,,,,,,29.84,29.84,,,,,,,,31.83,31.83,,,,,,,,17.38,16.38,1,,,,,,,27.41,27.41,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,28.51,26.51,2,,,,,,
dnf,SSP,MM,050 Dongmei,Zheng,CN512783,,,5,,0,1,"Lady,International",259.44,48,,,,,,25.08,25.08,,,,,,,,34.39,33.39,1,,,,,,,17.73,16.73,1,,,,,,,,,,,,,,,1,30.65,15.65,15,,,,,,,29.35,22.35,7,,,,,,,37.43,11.39,5.16,8.88,12,,,,,,,19.29,16.29,3,,,,,,,32.31,26.31,6,,,,,,,33.21,30.21,3,,,,,,
dnf,CO,NV,029 Spiegel,Marc,TH1006847,,,3,,0,1,"Senior,International",230.80,43,,1,,,,,,,,,,,,1,,,,,,,,,1,22.31,21.31,1,,,,,,,16.47,12.47,4,,,,,,,34.89,18.89,13,,1,,,,,25.59,22.59,3,,,,,,,48.22,14.82,5.59,10.81,17,,,,,,,23.76,23.76,,,,,,,,28.18,26.18,2,,,,,,,31.38,28.38,3,,,,,,
dnf,CO,MM,069 Chanthadee,Karn,,,,8,,0,1,Law Enforcement,175.49,10,2,,,,,32.94,31.94,1,,,,,,,34.84,29.84,,1,,,,,,19.19,18.19,1,,,,,,,12.21,11.21,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,16.97,16.97,,,,,,,,35.06,24.06,6,1,,,,,,24.28,23.28,1,,,,,,
dnf,REV,SS,062 Atipanan,Somnuk,TH657095,,,7,,0,1,"Senior,Stage Enterprises",188.29,18,,1,,,,25.52,22.52,,,1,,,,,25.52,25.52,,,,,,,,17.83,16.83,1,,,,,,,14.80,13.80,1,,,,,,,,,,,,,,,1,,,,,,,,,1,25.28,8.78,4.70,5.80,6,,,,,,,22.63,21.63,1,,,,,,,26.59,22.59,4,,,,,,,30.12,25.12,5,,,,,,
dnf,CCP,NV,006 Maneechansuk,Ekkaphong,,,,1,,0,1,,151.96,16,,,,,,17.15,17.15,,,,,,,,24.81,21.81,3,,,,,,,25.05,25.05,,,,,,,,38.94,32.94,6,,,,,,,19.59,18.59,1,,,,,,,26.42,20.42,6,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,NV,051 Muanthong,Nutthawat(Sgt.),,,,7,,0,1,,169.67,1,,,,,,22.69,22.69,,,,,,,,28.50,28.50,,,,,,,,17.66,16.66,1,,,,,,,13.39,13.39,,,,,,,,,,,,,,,,1,,,,,,,,,1,20.82,9.31,5.47,6.04,,,,,,,,19.32,19.32,,,,,,,,25.98,25.98,,,,,,,,21.31,21.31,,,,,,,
dnf,CDP,MM,032 Adchariyayot,Kriengsak,TH790857,,,3,,0,1,,177.61,23,,,,,,,,,,,,,,1,,,,,,,,,1,17.90,16.90,1,,,,,,,12.66,11.66,1,,,,,,,22.13,22.13,,,,,,,,26.73,25.73,1,,,,,,,32.20,9.92,5.12,5.16,12,,,,,,,17.23,16.23,1,,,,,,,23.77,21.77,2,,,,,,,24.99,19.99,5,,,,,,
dnf,SSP,NV,008 -,Moni,,,,1,,0,1,International,131.93,6,,,,,,23.78,23.78,,,,,,,,23.81,23.81,,,,,,,,17.65,17.65,,,,,,,,14.64,13.64,1,,,,,,,22.81,20.81,2,,,,,,,29.24,26.24,3,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,UN,021 Assawawongthada,Sarunrhat,,,,2,,0,1,Lady,197.51,48,,,,,,,,,,,,,,1,31.15,28.15,3,,,,,,,36.87,22.87,14,,,,,,,31.25,14.25,17,,,,,,,28.41,25.41,3,,,,,,,31.86,28.86,3,,,,,,,37.97,10.28,5.50,14.19,8,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,033 Tipwanngam,Sakulrat,,,,3,,0,1,Lady,208.83,31,1,,,,,,,,,,,,,1,,,,,,,,,1,22.65,16.65,1,1,,,,,,35.14,15.14,20,,,,,,,22.52,20.52,2,,,,,,,26.66,25.66,1,,,,,,,30.36,14.26,6.29,9.81,,,,,,,,17.83,17.83,,,,,,,,30.21,26.21,4,,,,,,,23.46,20.46,3,,,,,,
dnf,SSP,NV,080 KULTHIP,WATCHARIT,,,,9,,0,1,Law Enforcement,136.84,15,,1,,,,26.85,23.85,,,1,,,,,26.21,24.21,2,,,,,,,14.32,12.32,2,,,,,,,17.35,13.35,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,27.23,24.23,3,,,,,,,24.88,20.88,4,,,,,,
dnf,ESP,UN,100 Detpreedapon,Ekachai,,,,9,,0,1,Law Enforcement,225.25,17,,2,,,,28.47,24.47,1,,1,,,,,35.52,31.52,4,,,,,,,24.44,23.44,1,,,,,,,22.63,21.63,1,,,,,,,39.18,35.18,4,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,41.93,36.93,2,,1,,,,,33.08,29.08,4,,,,,,
dnf,SSP,MM,028 Tuck,David,TH1004550,,,3,,0,1,Senior,174.62,20,,1,,,,,,,,,,,,1,,,,,,,,,1,13.76,12.76,1,,,,,,,17.22,10.22,7,,,,,,,16.75,15.75,1,,,,,,,26.73,22.73,4,,,,,,,31.03,11.41,5.68,7.94,6,,,,,,,19.11,19.11,,,,,,,,23.26,22.26,1,,,,,,,26.76,23.76,,,1,,,,
dnf,CCP,NV,095 Khoomsab,Kan,TH1020145,,,10,,0,1,,229.31,46,,,,,,32.54,32.54,,,,,,,,42.28,41.28,1,,,,,,,26.11,22.11,4,,,,,,,25.60,22.60,3,,,,,,,53.07,27.07,26,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,49.71,37.71,12,,,,,,
dnf,SSP,UN,042 CHOOWASSAWATTAPAT,KRIT(ACDT.),,,,7,,0,1,Military,191.66,32,,,,,,25.75,24.75,1,,,,,,,31.14,26.14,5,,,,,,,18.38,17.38,1,,,,,,,23.40,13.40,10,,,,,,,,,,,,,,,1,,,,,,,,,1,30.27,7.77,5.18,7.32,10,,,,,,,17.23,16.23,1,,,,,,,24.02,23.02,1,,,,,,,21.47,18.47,3,,,,,,
dnf,PCC,MA,083 Charoendechkul,Vatcharapon,,,,9,,0,1,,104.37,22,2,,,,,13.61,11.61,2,,,,,,,18.42,13.42,5,,,,,,,13.73,6.73,7,,,,,,,7.63,6.63,1,,,,,,,10.05,8.05,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,22.72,14.72,3,1,,,,,,18.21,11.21,2,1,,,,,
dnf,SSP,SS,089 Kruangpath,Thirakun,,,,10,,0,1,Military,159.88,6,,1,,,,39.37,36.37,,,1,,,,,27.42,27.42,,,,,,,,18.19,18.19,,,,,,,,17.54,16.54,1,,,,,,,34.64,29.64,5,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,22.72,22.72,,,,,,,
dnf,ESP,MM,012 Stityuthakarn,Pasakorn,,,,2,,0,1,Senior,203.75,25,,,,,,,,,,,,,,1,30.71,29.71,1,,,,,,,20.07,20.07,,,,,,,,15.42,15.42,,,,,,,,30.29,28.29,2,,,,,,,32.24,28.24,4,,,,,,,49.86,15.89,6.25,9.72,18,,,,,,,25.16,25.16,,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,CO,MM,049 Chen,Yang,,,,5,,0,1,,185.22,32,,,,,,16.85,16.85,,,,,,,,23.65,19.65,4,,,,,,,14.63,13.63,1,,,,,,,,,,,,,,,1,29.56,16.56,13,,,,,,,18.26,16.26,2,,,,,,,23.19,5.93,4.31,6.95,6,,,,,,,17.71,17.71,,,,,,,,21.45,18.45,3,,,,,,,19.92,16.92,3,,,,,,
dnf,CO,MA,072 Boonla,Vayupat,TH1020117,,,8,,0,1,Law Enforcement,149.33,20,1,,,,,15.42,15.42,,,,,,,,18.00,18.00,,,,,,,,26.20,9.20,17,,,,,,,11.36,9.36,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,12.98,12.98,,,,,,,,19.69,19.69,,,,,,,,45.68,39.68,1,1,,,,,
dnf,BUG,EX,054 NAKKAEW,NAT,TH1000348,,,6,,0,1,,245.07,17,,,,,,26.55,26.55,,,,,,,,38.78,38.78,,,,,,,,20.27,20.27,,,,,,,,,,,,,,,,1,,,,,,,,,1,32.77,30.77,2,,,,,,,27.36,11.39,7.00,6.97,2,,,,,,,24.75,24.75,,,,,,,,45.77,33.77,12,,,,,,,28.82,27.82,1,,,,,,
dnf,CO,MM,067 Patasema,Makkawan,TH1021322,,,8,,0,1,,140.17,10,,,,,,20.80,19.80,1,,,,,,,21.63,20.63,1,,,,,,,12.95,12.95,,,,,,,,15.04,14.04,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,20.67,18.67,2,,,,,,,22.01,22.01,,,,,,,,27.07,22.07,5,,,,,,
dnf,ESP,NV,040 Trakulso,Nopparat,,,,10,,0,1,,148.87,21,,1,,,,18.65,18.65,,,,,,,,39.92,26.92,10,,1,,,,,17.56,17.56,,,,,,,,20.87,13.87,7,,,,,,,24.06,22.06,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.81,25.81,2,,,,,,
dnf,SSP,NV,098 Niyomna,Sakchai,TH258802,,,11,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,EX,045 Patcharoen,Nattkit,TH1013742,,,5,,0,1,Senior,168.41,8,,1,,,1,20.04,17.04,,,1,,,,,24.79,23.79,1,,,,,,,,,,,,,,,1,,,,,,,,,1,16.94,15.94,1,,,,,,,25.24,21.24,1,,,,,1,,23.94,9.49,5.14,7.31,2,,,,,,,15.46,15.46,,,,,,,,23.74,21.74,2,,,,,,,18.26,17.26,1,,,,,,
dnf,PCC,EX,084 Tritipayapong,Panachai,TH1022091,,,9,,0,1,,74.63,11,,,,,,,,,,,,,,1,,,,,,,,,1,12.62,10.62,2,,,,,,,10.49,9.49,1,,,,,,,17.35,12.35,5,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,16.24,15.24,1,,,,,,,17.93,15.93,2,,,,,,
dnf,ESP,NV,019 Lerdpaisalwong,Siriporn,TH1019975,,,2,,0,1,Lady,367.73,18,1,,,,,,,,,,,,,1,50.62,47.62,3,,,,,,,52.22,46.22,1,1,,,,,,33.71,33.71,,,,,,,,94.48,89.48,5,,,,,,,59.23,55.23,4,,,,,,,77.47,39.98,14.67,17.82,5,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,MM,070 Pathasema,Sombat,TH1020521,,,8,,0,1,Senior,209.90,19,,1,,,,31.34,26.34,2,,1,,,,,29.30,29.30,,,,,,,,26.44,22.44,4,,,,,,,24.78,20.78,4,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,25.47,24.47,1,,,,,,,35.12,31.12,4,,,,,,,37.45,33.45,4,,,,,,
dnf,SSP,MM,077 Ondee,Thiraphat,,,,9,,0,1,Law Enforcement,186.44,28,,1,,,,23.95,20.95,3,,,,,,,27.41,24.41,3,,,,,,,20.80,18.80,2,,,,,,,16.32,14.32,2,,,,,,,38.61,22.61,13,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,35.06,32.06,3,,,,,,,24.29,22.29,2,,,,,,
dnf,PCC,MM,079 Tinnarat,Apichat,,,,9,,0,1,,136.48,7,1,,,,,25.40,25.40,,,,,,,,20.30,20.30,,,,,,,,19.39,12.39,2,1,,,,,,14.04,13.04,1,,,,,,,22.13,22.13,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,17.79,15.79,2,,,,,,,17.43,15.43,2,,,,,,
dnf,CO,MA,060 Amnuaychai,Chaitiphum(Pol.Col.),TH572295,,,7,,0,1,Law Enforcement,111.55,2,,,,,,13.47,13.47,,,,,,,,14.90,14.90,,,,,,,,10.39,10.39,,,,,,,,9.00,9.00,,,,,,,,,,,,,,,,1,,,,,,,,,1,17.19,7.37,4.12,5.70,,,,,,,,12.95,12.95,,,,,,,,17.59,16.59,1,,,,,,,16.06,15.06,1,,,,,,
